id_city_name,city_name,zip_code,department_code
397,Villefranche-du-Périgord,24550,24
398,Vitrac,24200,24
399,Bart,25420,25
400,Baume-les-Dames,25110,25
401,Besançon,25000,25
402,Byans-sur-Doubs,25320,25
403,Chantrans,25330,25
404,Châtillon-le-Duc,25870,25
405,La Chaux,25650,25
406,Chemaudin et Vaux,25320,25
407,Dampierre-sur-le-Doubs,25420,25
408,Dannemarie-sur-Crète,25410,25
409,Dompierre-les-Tilleuls,25560,25
410,Étupes,25460,25
411,Exincourt,25400,25
412,Frasne,25560,25
413,Gilley,25650,25
414,Huanne-Montmartin,25680,25
415,L'Isle-sur-le-Doubs,25250,25
416,Villers-le-Lac,25130,25
417,Levier,25270,25
418,Maîche,25120,25
419,Malbuisson,25160,25
420,Mamirolle,25620,25
421,Mandeure,25350,25
422,Mercey-le-Grand,25410,25
423,Les Monts-Ronds,25620,25
424,Montbéliard,25200,25
425,Montfaucon,25660,25
426,Morteau,25500,25
427,Nancray,25360,25
428,Ornans,25290,25
429,Pontarlier,25300,25
430,Pont-de-Roide-Vermondans,25150,25
431,Rigney,25640,25
432,Rougemont,25680,25
433,Rurey,25290,25
434,Le Russey,25210,25
435,Sainte-Marie,25113,25
436,Saône,25660,25
437,Seloncourt,25230,25
438,Sochaux,25600,25
439,Thise,25220,25
440,Valdahon,25800,25
441,Valentigney,25700,25
442,Vercel-Villedieu-le-Camp,25530,25
443,La Vèze,25660,25
444,Albon,26140,26
445,Ancône,26200,26
446,Andancette,26140,26
447,Beaumont-Monteux,26600,26
448,Bésayes,26300,26
449,Bourg-de-Péage,26300,26
450,Bourg-lès-Valence,26500,26
451,Buis-les-Baronnies,26170,26
452,Chanos-Curson,26600,26
453,Châteauneuf-de-Galaure,26330,26
454,Chatuzange-le-Goubet,26300,26
455,Cléon-d'Andran,26450,26
456,Dieulefit,26220,26
457,Donzère,26290,26
458,Épinouze,26210,26
459,Eymeux,26730,26
460,Hauterives,26390,26
461,Mercurol-Veaunes,26600,26
462,Montélimar,26200,26
463,Montoison,26800,26
464,Moras-en-Valloire,26210,26
465,Saint-Jean-de-Galaure,26240,26
466,Nyons,26110,26
467,Peyrins,26380,26
468,Pierrelatte,26700,26
469,Pont-de-l'Isère,26600,26
470,La Roche-de-Glun,26600,26
471,Romans-sur-Isère,26100,26
472,Roussas,26230,26
473,Saint-Donat-sur-l'Herbasse,26260,26
474,Saint-Jean-en-Royans,26190,26
475,Saint-Paul-lès-Romans,26750,26
476,Saint-Paul-Trois-Châteaux,26130,26
477,Saint-Rambert-d'Albon,26140,26
478,Saint-Sorlin-en-Valloire,26210,26
479,Saint-Uze,26240,26
480,Saint-Vallier,26240,26
481,Suze-la-Rousse,26790,26
482,Tain-l'Hermitage,26600,26
483,Valence,26000,26
484,Jaillans,26300,26
485,Les Andelys,27700,27
486,Arnières-sur-Iton,27180,27
487,Gisors,27140,27
488,Auneau-Bleury-Saint-Symphorien,28700,28
489,Authon-du-Perche,28330,28
490,Bailleau-le-Pin,28120,28
491,Barjouville,28630,28
492,Berchères-les-Pierres,28630,28
493,Brezolles,28270,28
494,Brou,28160,28
495,Champhol,28300,28
496,Chartres,28000,28
497,Châteaudun,28200,28
498,Châteauneuf-en-Thymerais,28170,28
499,Cherisy,28500,28
500,Cloyes-les-Trois-Rivières,28220,28
501,Courville-sur-Eure,28190,28
502,Dreux,28100,28
503,Épernon,28230,28
504,Gallardon,28320,28
505,Hanches,28130,28
506,Illiers-Combray,28120,28
507,Janville-en-Beauce,28310,28
508,Lèves,28300,28
509,La Loupe,28240,28
510,Lucé,28110,28
511,Luisant,28600,28
512,Maintenon,28130,28
513,Mainvilliers,28300,28
514,Nogent-le-Roi,28210,28
515,Nogent-le-Rotrou,28400,28
516,Pierres,28130,28
517,Saint-Luperce,28190,28
518,Saint-Rémy-sur-Avre,28380,28
519,Senonches,28250,28
520,Thiron-Gardais,28480,28
521,Umpeau,28700,28
522,Vernouillet,28500,28
523,Les Villages Vovéens,28150,28
524,Argol,29560,29
525,Audierne,29770,29
526,Bannalec,29380,29
527,Bénodet,29950,29
528,Bohars,29820,29
529,Bourg-Blanc,29860,29
530,Brest,29200,29
531,Briec,29510,29
532,Carantec,29660,29
533,Carhaix-Plouguer,29270,29
534,Châteaulin,29150,29
535,Châteauneuf-du-Faou,29520,29
536,Cléden-Poher,29270,29
537,Clohars-Carnoët,29360,29
538,Clohars-Fouesnant,29950,29
539,Concarneau,29900,29
540,Le Conquet,29217,29
541,Crozon,29160,29
542,Dirinon,29460,29
543,Douarnenez,29100,29
544,Le Drennec,29860,29
545,Elliant,29370,29
546,Ergué-Gabéric,29500,29
547,Le Faou,29590,29
548,Le Folgoët,29260,29
549,La Forest-Landerneau,29800,29
550,Fouesnant,29170,29
551,Gouesnach,29950,29
552,Gouesnou,29850,29
553,Gourlizon,29710,29
554,Guengat,29180,29
555,Guilers,29820,29
556,Guilvinec,29730,29
557,Guipavas,29490,29
558,Guissény,29880,29
559,Henvic,29670,29
560,Kerlouan,29890,29
561,Kersaint-Plabennec,29860,29
562,Lampaul-Guimiliau,29400,29
563,Landéda,29870,29
564,Landivisiau,29400,29
565,Landrévarzec,29510,29
566,Landunvez,29840,29
567,Langolen,29510,29
568,Lanildut,29840,29
569,Lanmeur,29620,29
570,Lannilis,29870,29
571,Lanvéoc,29160,29
572,Lesneven,29260,29
573,Leuhan,29390,29
574,Locmaria-Plouzané,29280,29
575,Locquirec,29241,29
576,Loctudy,29750,29
577,Lopérec,29590,29
578,Loperhet,29470,29
579,Confort-Meilars,29790,29
580,Mellac,29300,29
581,Mespaul,29420,29
582,Escragnolles,06460,06
583,La Gaude,06610,06
584,Gorbio,06500,06
585,Grasse,06130,06
586,Mandelieu-la-Napoule,06210,06
587,Marie,06420,06
588,Menton,06500,06
589,Mougins,06250,06
590,Nice,06000,06
591,Opio,06650,06
592,Pégomas,06580,06
593,Péone,06470,06
594,Peymeinade,06530,06
595,Roquebillière,06450,06
596,Roquebrune-Cap-Martin,06190,06
597,Roquefort-les-Pins,06330,06
598,La Roquette-sur-Siagne,06550,06
599,Saint-Cézaire-sur-Siagne,06530,06
600,Saint-Jeannet,06640,06
601,Saint-Laurent-du-Var,06700,06
602,Saint-Vallier-de-Thiey,06460,06
603,Sospel,06380,06
604,Touët-sur-Var,06710,06
605,La Trinité,06340,06
606,La Turbie,06320,06
607,Valbonne,06560,06
608,Vallauris,06220,06
609,Villefranche-sur-Mer,06230,06
610,Villeneuve-Loubet,06270,06
611,Alba-la-Romaine,07400,07
612,Alboussière,07440,07
613,Annonay,07100,07
614,Aubenas,07200,07
615,Bourg-Saint-Andéol,07700,07
616,Le Cheylard,07160,07
617,Cruas,07350,07
618,Davézieux,07430,07
619,Guilherand-Granges,07500,07
620,Joyeuse,07260,07
621,Lamastre,07270,07
622,Mauves,07300,07
623,Montpezat-sous-Bauzon,07560,07
624,Privas,07000,07
625,Rochemaure,07400,07
626,Roiffieux,07100,07
627,Ruoms,07120,07
628,Saint-Marcel-d'Ardèche,07700,07
629,Saint-Sauveur-de-Montagut,07190,07
630,Saint-Sernin,07200,07
631,Talencieux,07340,07
632,Le Teil,07400,07
633,Tournon-sur-Rhône,07300,07
634,Vallon-Pont-d'Arc,07150,07
635,Les Vans,07140,07
636,Vernoux-en-Vivarais,07240,07
637,Villevocance,07690,07
638,La Voulte-sur-Rhône,07800,07
639,Aubrives,08320,08
640,Bazeilles,08140,08
641,Belval,08090,08
642,Flize,08160,08
643,Carignan,08110,08
644,Charleville-Mézières,08000,08
645,Château-Porcien,08360,08
646,Chooz,08600,08
647,Douzy,08140,08
648,Fumay,08170,08
649,Givet,08600,08
650,Haybes,08170,08
651,Houldizy,08090,08
652,Juniville,08310,08
653,Mouzon,08210,08
654,Nouvion-sur-Meuse,08160,08
655,Nouzonville,08700,08
656,Prix-lès-Mézières,08000,08
657,Couiza,11190,11
658,Escales,11200,11
659,Fabrezan,11200,11
660,Ferrals-les-Corbières,11200,11
661,Floure,11800,11
662,Ginestas,11120,11
663,Issel,11400,11
664,Lasbordes,11400,11
665,Lavalette,11290,11
666,Leuc,11250,11
667,Leucate,11370,11
668,Lézignan-Corbières,11200,11
669,Limoux,11300,11
670,Luc-sur-Orbieu,11200,11
671,Marcorignan,11120,11
672,Les Martys,11390,11
673,Montfort-sur-Boulzane,11140,11
674,Montréal,11290,11
675,Narbonne,11100,11
676,Névian,11200,11
677,Port-la-Nouvelle,11210,11
678,Ouveillan,11590,11
679,Palaja,11570,11
680,Pexiora,11150,11
681,Peyriac-de-Mer,11440,11
682,Pezens,11170,11
683,Portel-des-Corbières,11490,11
684,Pradelles-Cabardès,11380,11
685,Puivert,11230,11
686,Quillan,11500,11
687,Rennes-le-Château,11190,11
688,Rennes-les-Bains,11190,11
689,Rieux-Minervois,11160,11
690,Roubia,11200,11
691,Sainte-Colombe-sur-l'Hers,11230,11
692,Saint-Hilaire,11250,11
693,Saint-Nazaire-d'Aude,11120,11
694,Saissac,11310,11
695,Sigean,11130,11
696,Talairan,11220,11
697,Trèbes,11800,11
698,Ventenac-Cabardès,11610,11
699,Verzeille,11250,11
700,Villemoustaussou,11620,11
701,Villeneuve-la-Comptal,11400,11
702,Villeneuve-Minervois,11160,11
703,Villesèquelande,11170,11
704,Vinassan,11110,11
705,Aubin,12110,12
706,Belmont-sur-Rance,12370,12
707,Bozouls,12340,12
708,Brommat,12600,12
709,Firmi,12300,12
710,Flavin,12450,12
711,Foissac,12260,12
712,Lanuéjouls,12350,12
713,Lédergues,12170,12
714,Marcillac-Vallon,12330,12
715,Millau,12100,12
716,Montrozier,12630,12
717,Mur-de-Barrez,12600,12
718,Naucelle,12800,12
719,Onet-le-Château,12000,12
720,Plaisance,12550,12
721,Pont-de-Salars,12290,12
722,Rieupeyroux,12240,12
723,Rodez,12000,12
724,La Rouquette,12200,12
725,Saint-Amans-des-Cots,12460,12
726,Saint-Izaire,12480,12
727,Salmiech,12120,12
728,Sébazac-Concourès,12740,12
729,Sénergues,12320,12
730,Sévérac d'Aveyron,12150,12
731,Viala-du-Tarn,12490,12
732,Villeneuve,12260,12
733,Viviez,12110,12
734,Aix-en-Provence,13080,13
735,Allauch,13190,13
736,Arles,13104,13
737,Essey,21320,21
738,Fauverney,21110,21
739,Fénay,21600,21
740,Fontaine-Française,21610,21
741,Fontaine-lès-Dijon,21121,21
