id_place,coordonates,longitude,latitude,adress,id_city_name
I145570003,"49.33976, 0.09338",0.09338,49.33976,Avenue Michel d'Ornano,157
I145620001,"49.32362, -0.39767",-0.39767,49.32362,Route de Tailleville,158
I146100004,"49.18027, -0.49817",-0.49817,49.18027,RUE NOUVELLE,159
I146540003,"49.01573, -0.03028",-0.03028,49.01573,rue des sports,160
I146750004,"49.13153, -0.29084",-0.29084,49.13153,rue Pierre de Coubertin,161
I146890004,"48.98022, -0.47452",-0.47452,48.98022,1 boulevard des champs Sainte-Catherine,162
I146990002,"49.34716124832903, 0.10357707733419375",0.1035770773341937,49.34716124832903,av charles de gaulle,163
I147120002,"49.18154, -0.18896",-0.18896,49.18154,rue du bois,164
I147150002,"49.35914, 0.09519",0.09519,49.35914,avenue Barnstaple,165
I147260011,"48.856743872192965, -0.6744718552727136",-0.6744718552727136,48.856743872192965,rte de lassy,166
I150450003,"44.85597, 3.00658",3.00658,44.85597,avenue du docteur mallet parc de la piscine,167
I150720002,"45.02167, 2.38752",2.38752,45.02167,Le Bourg,168
I150900003,"44.79019, 2.45806",2.45806,44.79019,rue du Parc des Sports,169
I103870017,"48.27003, 4.0713",4.0713,48.27003,Complexe henri Terré,170
I110050007,"43.18792985381606, 2.25076362490654",2.25076362490654,43.18792985381606,avenue du stade,171
I110090001,"43.255155667657164, 2.176375240087509",2.176375240087509,43.25515566765717,Parc municipal,172
I110090003,"43.24650107144827, 2.176505327224732",2.176505327224732,43.24650107144827,Chemin du stade Plaine d'ALZONNE,172
I110150003,"42.95313, 2.37105",2.37105,42.95313,L'escampadou,173
I110210012,"42.80143, 2.23005",2.23005,42.80143,Rue des Jardins Le Parc-Ouest,174
I110330002,"43.20067, 1.74811",1.74811,43.20067,rue du 8 mai 1945,175
I110340001,"43.12287, 2.08847",2.08847,43.12287,av du lac,176
I110480001,"43.14757, 2.78797",2.78797,43.14757,rue du moulin,177
I110490002,"43.23613, 2.1054",2.1054,43.23613,route de Fanjeaux,178
I110680002,"43.186631262378796, 2.558237314224243",2.558237314224243,43.1866312623788,Le stade,179
I110690028,"43.21739, 2.36581",2.36581,43.21739,10 avenue Général Sarrail,180
I110690038,"43.2185, 2.314",2.314,43.2185,Route de Bram,180
I110690039,"43.19769, 2.32125",2.32125,43.19769,Maquens,180
I110690042,"43.21816, 2.33835",2.33835,43.21816,Rue Auguste Delaune,180
I110690055,"43.2231, 2.37369",2.37369,43.2231,la Fajeolle,180
I110690075,"43.20656, 2.34809",2.34809,43.20656,rue Marcelau Perrutel BP 585,180
I110690077,"43.22524, 2.35238",2.35238,43.22524,2 r du moulin de la seigne,180
I110760002,"43.32088, 1.96274",1.96274,43.32088,Rue Anatole France,181
I110760005,"43.31946, 1.96378",1.96378,43.31946,Chemin de la cruzolle Pont rouge,181
I110760012,"43.31609, 1.94833",1.94833,43.31609,Avenue Georges Pompidou,181
I110840004,"43.2271, 2.25667",2.25667,43.2271,av des platanes,182
I110880007,"43.17981, 2.36997",2.36997,43.17981,av du stade,183
I110990001,"43.26925, 2.39807",2.39807,43.26925,av felix roquefort,184
I111060005,"43.23186, 3.05114",3.05114,43.23186,Avenue du Général de Gaulle,185
I111060006,"43.23455, 3.07281",3.07281,43.23455,Route de salles,185
I111160003,"43.25223, 3.00157",3.00157,43.25223,Route de Capestang,186
I120560001,"44.27535, 2.43459",2.43459,44.27535,Route de la Vallée du Viaur,187
I120680001,"44.34656, 2.3333",2.3333,44.34656,Le bourg,188
I120730002,"44.23149, 2.56964",2.56964,44.23149,PLACE DU STADE,189
I120890005,"44.5627, 2.24308",2.24308,44.5627,STADE CAMILLE GUIBERT,190
I120960004,"44.52155, 2.76836",2.76836,44.52155,LE FOIRAIL,191
I060110009,"43.71138889, 7.33583333",7.33583333,43.71138889,6 Avenue Edith CAVELL Beaulieu sur Mer,192
I060120009,"43.746744, 7.416768",7.416768,43.746744,Avenue des Anciens Combattants d'Afrique du Nord Le Devens,193
I060160014,"44.08882, 6.9691",6.9691,44.08882,La Sagne,194
I060180011,"43.62166667, 7.06361111",7.06361111,43.62166667,Route des Dollines/ Rond Point de l'Eganaude BIOT,195
I060220005,"43.82559, 7.12267",7.12267,43.82559,Rue du Noyer Bouyon,196
I060230001,"43.94218, 7.5167",7.5167,43.94218,545 Route des vacances,197
I060270010,"43.67194444, 7.14916667",7.14916667,43.67194444,Avenue Marcel Pagnol,198
I060290044,"43.5512, 6.95866",6.95866,43.5512,99 Avenue MAURICE CHEVALIER Cannes La Bocca,199
I060290055,"43.5425, 7.0375",7.0375,43.5425,50 avenue de lérins,199
I060290062,"43.54666667, 6.94888889",6.94888889,43.54666667,6 Avenue Gaston de Fontmichel,199
I060290063,"43.55027778, 6.96333333",6.96333333,43.55027778,1 Avenue Pierre de Coubertin Cannes La Bocca,199
I060300001,"43.56972222, 6.985",6.985,43.56972222,730 Avenue Georges Pompidou,200
I060330008,"43.76805556, 7.19583333",7.19583333,43.76805556,Boulevard de la Colle Belle,201
I060330011,"43.76777778, 7.20111111",7.20111111,43.76777778,Route de la Grave,201
I060420004,"43.99333333, 7.14583333",7.14583333,43.99333333,avenue des vallières,202
I060440005,"43.68509, 7.10109",7.10109,43.68509,Chemin de l'Escourt,203
I060440011,"43.78, 7.50861111",7.50861111,43.78,Bd Honoré Teisseire La Colle sur Loup,203
I060440014,,,,4 boulevard alex roubert,203
I060460001,"43.76539, 7.22225",7.22225,43.76539,RD 414 Fort Casal - Quartier du Redier,204
I103230006,"48.52446, 3.72983",3.72983,48.52446,rue magenta,205
I103230007,"48.51807, 3.71742",3.71742,48.51807,allée montesquieu,205
